;canción;álbum
94;Crazy Baldhead / Running Away - Medley / Live At The Rainbow Theatre, London / June 3, 1977;Live At The Rainbow, 3rd June 1977
95;No Woman, No Cry - Live At The Rainbow Theatre, London / June 3, 1977;Live At The Rainbow, 3rd June 1977
96;Lively Up Yourself - Live At The Rainbow Theatre, London / June 3, 1977;Live At The Rainbow, 3rd June 1977
97;Jamming - Live At The Rainbow Theatre, London / June 3, 1977;Live At The Rainbow, 3rd June 1977
98;Get Up, Stand Up - Live At The Rainbow Theatre, London / June 3, 1977;Live At The Rainbow, 3rd June 1977
99;Exodus - Live At The Rainbow Theatre, London / June 3, 1977;Live At The Rainbow, 3rd June 1977
100;Rebel Music (3 O'Clock Roadblock) - Live At The Rainbow Theatre, London / June 2, 1977;Live At The Rainbow, 2nd June 1977
101;Burnin' And Lootin' - Live At The Rainbow Theatre, London / June 2, 1977;Live At The Rainbow, 2nd June 1977
102;Them Belly Full (But We Hungry) - Live At The Rainbow Theatre, London / June 2, 1977;Live At The Rainbow, 2nd June 1977
103;The Heathen - Live At The Rainbow Theatre, London / June 2, 1977;Live At The Rainbow, 2nd June 1977
104;I Shot The Sheriff - Live At The Rainbow Theatre, London / June 2, 1977;Live At The Rainbow, 2nd June 1977
105;Crazy Baldhead / Running Away - Medley / Live At The Rainbow Theatre, London / June 2, 1977;Live At The Rainbow, 2nd June 1977
106;War / No More Trouble - Medley / Live At The Rainbow Theatre, London / June 2, 1977;Live At The Rainbow, 2nd June 1977
107;No Woman, No Cry - Live At The Rainbow Theatre, London / June 2, 1977;Live At The Rainbow, 2nd June 1977
108;Lively Up Yourself - Live At The Rainbow Theatre, London / June 2, 1977;Live At The Rainbow, 2nd June 1977
109;Jamming - Live At The Rainbow Theatre, London / June 2, 1977;Live At The Rainbow, 2nd June 1977
110;Get Up, Stand Up - Live At The Rainbow Theatre, London / June 2, 1977;Live At The Rainbow, 2nd June 1977
111;Exodus - Live At The Rainbow Theatre, London / June 2, 1977;Live At The Rainbow, 2nd June 1977
112;Natural Mystic - Live At The Rainbow Theatre, London / June 1, 1977;Live At The Rainbow, 1st June 1977
113;So Much Things To Say - Live At The Rainbow Theatre, London / June 1, 1977;Live At The Rainbow, 1st June 1977
114;Guiltiness - Live At The Rainbow Theatre, London / June 1, 1977;Live At The Rainbow, 1st June 1977
115;The Heathen - Live At The Rainbow Theatre, London / June 1, 1977;Live At The Rainbow, 1st June 1977
116;I Shot The Sheriff - Live At The Rainbow Theatre, London / June 1, 1977;Live At The Rainbow, 1st June 1977
117;War / No More Trouble - Medley / Live At The Rainbow Theatre, London / June 1, 1977;Live At The Rainbow, 1st June 1977
118;Positive Vibration - Live At The Rainbow Theatre, London / June 1, 1977;Live At The Rainbow, 1st June 1977
119;No Woman, No Cry - Live At The Rainbow Theatre, London / June 1, 1977;Live At The Rainbow, 1st June 1977
120;Lively Up Yourself - Live At The Rainbow Theatre, London / June 1, 1977;Live At The Rainbow, 1st June 1977
121;Jamming - Live At The Rainbow Theatre, London / June 1, 1977;Live At The Rainbow, 1st June 1977
122;Get Up, Stand Up - Live At The Rainbow Theatre, London / June 1, 1977;Live At The Rainbow, 1st June 1977
123;Exodus - Live At The Rainbow Theatre, London / June 1, 1977;Live At The Rainbow, 1st June 1977
124;You Can't Blame The Youth - Live;The Capitol Session '73 (Live)
